title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,M,N,answer,image
Towns and Cities,radio,图书馆,library,museum,cinema,restaurant,building,bridge,traffic,crossing,directions,opposite,A,,,,,
,radio,博物馆,library,museum,cinema,restaurant,building,bridge,traffic,crossing,directions,opposite,B,,,,,
,radio,电影院,library,museum,cinema,restaurant,building,bridge,traffic,crossing,directions,opposite,C,,,,,
,radio,餐馆,library,museum,cinema,restaurant,building,bridge,traffic,crossing,directions,opposite,D,,,,,
,radio,建筑物,library,museum,cinema,restaurant,building,bridge,traffic,crossing,directions,opposite,E,,,,,
,radio,桥,library,museum,cinema,restaurant,building,bridge,traffic,crossing,directions,opposite,F,,,,,
,radio,交通,library,museum,cinema,restaurant,building,bridge,traffic,crossing,directions,opposite,G,,,,,
,radio,过路处,library,museum,cinema,restaurant,building,bridge,traffic,crossing,directions,opposite,H,,,,,
,radio,方向指示,library,museum,cinema,restaurant,building,bridge,traffic,crossing,directions,opposite,I,,,,,
,radio,在……对面,library,museum,cinema,restaurant,building,bridge,traffic,crossing,directions,opposite,J,,,,,
,radio,在……之间,between,beside,corner,signboard,building,bridge,traffic,crossing,directions,opposite,K,,,,,
,radio,在……旁边,between,beside,corner,signboard,building,bridge,traffic,crossing,directions,opposite,L,,,,,
,radio,角落；转角,between,beside,corner,signboard,building,bridge,traffic,crossing,directions,opposite,M,,,,,
,radio,招牌,between,beside,corner,signboard,building,bridge,traffic,crossing,directions,opposite,N ,,,,,
