title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Towns and Cities,radio,摩天大楼,skyscraper,pedestrian,neighbourhood,roundabout,tourist attraction,environment,residential area,commercial area,public transport,facilities,A,
,radio,行人,skyscraper,pedestrian,neighbourhood,roundabout,tourist attraction,environment,residential area,commercial area,public transport,facilities,B,
,radio,邻里社区,skyscraper,pedestrian,neighbourhood,roundabout,tourist attraction,environment,residential area,commercial area,public transport,facilities,C,
,radio,交通圈,skyscraper,pedestrian,neighbourhood,roundabout,tourist attraction,environment,residential area,commercial area,public transport,facilities,D,
,radio,旅游景点,skyscraper,pedestrian,neighbourhood,roundabout,tourist attraction,environment,residential area,commercial area,public transport,facilities,E,
,radio,环境,skyscraper,pedestrian,neighbourhood,roundabout,tourist attraction,environment,residential area,commercial area,public transport,facilities,F,
,radio,住宅区,skyscraper,pedestrian,neighbourhood,roundabout,tourist attraction,environment,residential area,commercial area,public transport,facilities,G,
,radio,商业区,skyscraper,pedestrian,neighbourhood,roundabout,tourist attraction,environment,residential area,commercial area,public transport,facilities,H,
,radio,公共交通,skyscraper,pedestrian,neighbourhood,roundabout,tourist attraction,environment,residential area,commercial area,public transport,facilities,I,
,radio,设施,skyscraper,pedestrian,neighbourhood,roundabout,tourist attraction,environment,residential area,commercial area,public transport,facilities,J,
