title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Wild Life,radio,动物,animal,bird,fish,snake,tiger,elephant,monkey,bear,lion,zebra,A,
,radio,鸟,animal,bird,fish,snake,tiger,elephant,monkey,bear,lion,zebra,B,
,radio,鱼,animal,bird,fish,snake,tiger,elephant,monkey,bear,lion,zebra,C,
,radio,蛇,animal,bird,fish,snake,tiger,elephant,monkey,bear,lion,zebra,D,
,radio,老虎,animal,bird,fish,snake,tiger,elephant,monkey,bear,lion,zebra,E,
,radio,大象,animal,bird,fish,snake,tiger,elephant,monkey,bear,lion,zebra,F,
,radio,猴子,animal,bird,fish,snake,tiger,elephant,monkey,bear,lion,zebra,G,
,radio,熊,animal,bird,fish,snake,tiger,elephant,monkey,bear,lion,zebra,H,
,radio,狮子,animal,bird,fish,snake,tiger,elephant,monkey,bear,lion,zebra,I,
,radio,斑马,animal,bird,fish,snake,tiger,elephant,monkey,bear,lion,zebra,J,
,radio,长颈鹿,giraffe,crocodile,frog,eagle,rabbit,deer,tiger,elephant,monkey,bear,A,
,radio,鳄鱼,giraffe,crocodile,frog,eagle,rabbit,deer,tiger,elephant,monkey,bear,B,
,radio,青蛙,giraffe,crocodile,frog,eagle,rabbit,deer,tiger,elephant,monkey,bear,C,
,radio,鹰,giraffe,crocodile,frog,eagle,rabbit,deer,tiger,elephant,monkey,bear,D,
,radio,兔子,giraffe,crocodile,frog,eagle,rabbit,deer,tiger,elephant,monkey,bear,E,
,radio,鹿,giraffe,crocodile,frog,eagle,rabbit,deer,tiger,elephant,monkey,bear,F,
