title,type,question,A,B,C,D,E,F,G,H,I ,J,K,L,M,N,answer,image
Going Away,radio,假期,holiday,journey,passport,ticket,luggage,tourist,souvenir,suitcase,guide,camping,A,,,,,
,radio,旅程,holiday,journey,passport,ticket,luggage,tourist,souvenir,suitcase,guide,camping,B,,,,,
,radio,护照,holiday,journey,passport,ticket,luggage,tourist,souvenir,suitcase,guide,camping,C,,,,,
,radio,票,holiday,journey,passport,ticket,luggage,tourist,souvenir,suitcase,guide,camping,D,,,,,
,radio,行李,holiday,journey,passport,ticket,luggage,tourist,souvenir,suitcase,guide,camping,E,,,,,
,radio,游客,holiday,journey,passport,ticket,luggage,tourist,souvenir,suitcase,guide,camping,F,,,,,
,radio,纪念品,holiday,journey,passport,ticket,luggage,tourist,souvenir,suitcase,guide,camping,G,,,,,
,radio,行李箱,holiday,journey,passport,ticket,luggage,tourist,souvenir,suitcase,guide,camping,H,,,,,
,radio,导游,holiday,journey,passport,ticket,luggage,tourist,souvenir,suitcase,guide,camping,I,,,,,
,radio,露营,holiday,journey,passport,ticket,luggage,tourist,souvenir,suitcase,guide,camping,J,,,,,
,radio,风景,scenery,reservation,transport,adventure,suitcase,guide,camping,passport,souvenir,luggage,K,,,,,
,radio,预订,scenery,reservation,transport,adventure,suitcase,guide,camping,passport,souvenir,luggage,L,,,,,
,radio,交通工具,scenery,reservation,transport,adventure,suitcase,guide,camping,passport,souvenir,luggage,M,,,,,
,radio,冒险,scenery,reservation,transport,adventure,suitcase,guide,camping,passport,souvenir,luggage,N,,,,,
