title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Free time,radio,爱好,hobby,music,sport,film,game,dance,swim,read,sing,draw,A,
,radio,音乐,hobby,music,sport,film,game,dance,swim,read,sing,draw,B,
,radio,运动,hobby,music,sport,film,game,dance,swim,read,sing,draw,C,
,radio,电影,hobby,music,sport,film,game,dance,swim,read,sing,draw,D,
,radio,游戏,hobby,music,sport,film,game,dance,swim,read,sing,draw,E,
,radio,跳舞,hobby,music,sport,film,game,dance,swim,read,sing,draw,F,
,radio,游泳,hobby,music,sport,film,game,dance,swim,read,sing,draw,G,
,radio,阅读,hobby,music,sport,film,game,dance,swim,read,sing,draw,H,
,radio,唱歌,hobby,music,sport,film,game,dance,swim,read,sing,draw,I,
,radio,画画,hobby,music,sport,film,game,dance,swim,read,sing,draw,J,
,radio,绘画,paint,bike,book,song,club,chess,sport,film,game,dance,A,
,radio,脚车,paint,bike,book,song,club,chess,sport,film,game,dance,B,
,radio,书本,paint,bike,book,song,club,chess,sport,film,game,dance,C,
,radio,歌曲,paint,bike,book,song,club,chess,sport,film,game,dance,D,
,radio,学会,paint,bike,book,song,club,chess,sport,film,game,dance,E,
,radio,国际象棋,paint,bike,book,song,club,chess,sport,film,game,dance,F,
