title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Free time,radio,摄影,photography,instrument,competition,creative,relaxing,performance,collection,entertainment,imagination,challenge,A,
,radio,乐器,photography,instrument,competition,creative,relaxing,performance,collection,entertainment,imagination,challenge,B,
,radio,比赛,photography,instrument,competition,creative,relaxing,performance,collection,entertainment,imagination,challenge,C,
,radio,有创意的,photography,instrument,competition,creative,relaxing,performance,collection,entertainment,imagination,challenge,D,
,radio,令人放松的,photography,instrument,competition,creative,relaxing,performance,collection,entertainment,imagination,challenge,E,
,radio,表演,photography,instrument,competition,creative,relaxing,performance,collection,entertainment,imagination,challenge,F,
,radio,收藏品,photography,instrument,competition,creative,relaxing,performance,collection,entertainment,imagination,challenge,G,
,radio,娱乐,photography,instrument,competition,creative,relaxing,performance,collection,entertainment,imagination,challenge,H,
,radio,想象力,photography,instrument,competition,creative,relaxing,performance,collection,entertainment,imagination,challenge,I,
,radio,挑战,photography,instrument,competition,creative,relaxing,performance,collection,entertainment,imagination,challenge,J,
